
Thread 3 => 1,16'ye 6 eklendi.
Thread 4 => 7,13'ye 6 eklendi.
Thread 7 => 12,12'ye 6 eklendi.
Thread 2 => 7,1'ye 9 eklendi.
Thread 10 => 12,12'ye 6 eklendi.
Thread 7 => 14,20'ye 6 eklendi.
Thread 8 => 19,18'ye 6 eklendi.
Thread 8 => 18,13'ye 6 eklendi.
Thread Last => 0,2'ye 2 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread 2 => 8,0'ye 2 eklendi.
Thread1 => 2,1'ye 6 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread 2 => 6,0'ye 6 eklendi.
Thread 2 => 6,1'ye 8 eklendi.
Thread 2 => 6,7'ye 5 eklendi.
Thread 2 => 7,0'ye 1 eklendi.
Thread 2 => 7,2'ye 5 eklendi.
Thread 2 => 7,7'ye 8 eklendi.
Thread 2 => 8,2'ye 4 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread1 => 0,6'ye 8 eklendi.
Thread1 => 0,7'ye 2 eklendi.
Thread1 => 2,7'ye 5 eklendi.
Thread 9 => 6,7'ye 8 eklendi.
Thread 2 => 6,7'ye 8 eklendi.
Thread 9 => 6,12'ye 9 eklendi.
Thread 2 => 7,6'ye 5 eklendi.
Thread 9 => 7,6'ye 5 eklendi.
Thread 2 => 7,8'ye 7 eklendi.
Thread Last => 0,2'ye 8 eklendi.
Thread 2 => 5,2'ye 1 eklendi.
Thread 2 => 5,6'ye 9 eklendi.
Thread1 => 0,6'ye 5 eklendi.
Thread1 => 0,7'ye 2 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread1 => 2,1'ye 6 eklendi.
Thread1 => 3,3'ye 9 eklendi.
Thread1 => 3,5'ye 2 eklendi.
Thread1 => 3,6'ye 7 eklendi.
Thread1 => 4,1'ye 8 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread1 => 4,4'ye 7 eklendi.
Thread Last => 0,1'ye 8 eklendi.
Thread Last => 0,2'ye 2 eklendi.
Thread1 => 1,0'ye 1 eklendi.
Thread1 => 1,2'ye 4 eklendi.
Thread 2 => 8,0'ye 2 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread1 => 2,1'ye 6 eklendi.
Thread1 => 4,1'ye 1 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread1 => 1,1'ye 7 eklendi.
Thread 2 => 5,2'ye 8 eklendi.
Thread1 => 1,8'ye 9 eklendi.
Thread 2 => 5,3'ye 9 eklendi.
Thread1 => 4,4'ye 8 eklendi.
Thread 2 => 5,6'ye 1 eklendi.
Thread 2 => 6,0'ye 6 eklendi.
Thread 2 => 6,1'ye 3 eklendi.
Thread 2 => 7,0'ye 8 eklendi.
Thread 2 => 7,2'ye 5 eklendi.
Thread 2 => 8,2'ye 1 eklendi.
Thread 2 => 8,8'ye 3 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread1 => 2,7'ye 5 eklendi.
Thread 9 => 6,7'ye 8 eklendi.
Thread 2 => 6,7'ye 8 eklendi.
Thread 9 => 6,13'ye 9 eklendi.
Thread 2 => 7,6'ye 5 eklendi.
Thread 4 => 6,13'ye 9 eklendi.
Thread 9 => 7,6'ye 5 eklendi.
Thread 2 => 7,8'ye 7 eklendi.
Thread 9 => 7,8'ye 7 eklendi.
Thread 9 => 6,12'ye 3 eklendi.
Thread 10 => 12,8'ye 5 eklendi.
Thread1 => 0,8'ye 6 eklendi.
Thread 2 => 6,0'ye 5 eklendi.
Thread 3 => 4,13'ye 1 eklendi.
Thread 9 => 8,8'ye 3 eklendi.
Thread 4 => 6,16'ye 1 eklendi.
Thread 5 => 12,8'ye 5 eklendi.
Thread1 => 1,6'ye 8 eklendi.
Thread 2 => 8,6'ye 6 eklendi.
Thread 10 => 14,8'ye 8 eklendi.
Thread 4 => 6,19'ye 2 eklendi.
Thread 5 => 14,8'ye 8 eklendi.
Thread 3 => 4,14'ye 9 eklendi.
Thread 4 => 6,20'ye 8 eklendi.
Thread 3 => 4,18'ye 2 eklendi.
Thread 4 => 7,13'ye 6 eklendi.
Thread 3 => 4,19'ye 6 eklendi.
Thread 4 => 7,16'ye 3 eklendi.
Thread Last => 0,2'ye 6 eklendi.
Thread1 => 0,8'ye 7 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread1 => 2,8'ye 6 eklendi.
Thread1 => 4,1'ye 6 eklendi.
Thread 9 => 6,8'ye 3 eklendi.
Thread 2 => 6,1'ye 3 eklendi.
Thread1 => 0,6'ye 5 eklendi.
Thread 2 => 7,2'ye 5 eklendi.
Thread1 => 0,7'ye 2 eklendi.
Thread 9 => 7,6'ye 7 eklendi.
Thread 2 => 7,6'ye 7 eklendi.
Thread 9 => 8,6'ye 6 eklendi.
Thread1 => 3,6'ye 9 eklendi.
Thread 2 => 8,6'ye 6 eklendi.
Thread1 => 4,7'ye 7 eklendi.
Thread 9 => 6,7'ye 5 eklendi.
Thread 10 => 11,7'ye 3 eklendi.
Thread1 => 3,3'ye 2 eklendi.
Thread 2 => 5,3'ye 9 eklendi.
Thread 9 => 7,7'ye 8 eklendi.
Thread1 => 3,5'ye 7 eklendi.
Thread 2 => 5,6'ye 1 eklendi.
Thread 4 => 7,13'ye 6 eklendi.
Thread1 => 4,4'ye 8 eklendi.
Thread 9 => 7,13'ye 6 eklendi.
Thread 2 => 7,0'ye 1 eklendi.
Thread1 => 4,6'ye 4 eklendi.
Thread 2 => 8,0'ye 2 eklendi.
Thread 2 => 8,2'ye 4 eklendi.
Thread Last => 0,0'ye 5 eklendi.
Thread1 => 0,1'ye 3 eklendi.
Thread 2 => 7,2'ye 5 eklendi.
Thread1 => 2,7'ye 5 eklendi.
Thread 9 => 6,7'ye 8 eklendi.
Thread 2 => 6,7'ye 8 eklendi.
Thread 9 => 6,13'ye 9 eklendi.
Thread 2 => 6,1'ye 6 eklendi.
Thread 9 => 6,12'ye 3 eklendi.
Thread 3 => 4,13'ye 1 eklendi.
Thread 4 => 6,16'ye 1 eklendi.
Thread 9 => 8,8'ye 3 eklendi.
Thread 2 => 8,8'ye 3 eklendi.
Thread 3 => 4,14'ye 9 eklendi.
Thread 4 => 6,19'ye 2 eklendi.
Thread 4 => 6,20'ye 8 eklendi.
Thread 3 => 4,18'ye 2 eklendi.
Thread 4 => 7,16'ye 3 eklendi.
Thread 3 => 4,19'ye 6 eklendi.
Thread Last => 0,0'ye 6 eklendi.
Thread1 => 0,1'ye 3 eklendi.
Thread1 => 0,8'ye 7 eklendi.
Thread1 => 2,8'ye 6 eklendi.
Thread 9 => 6,8'ye 3 eklendi.
Thread 2 => 6,8'ye 3 eklendi.
Thread 2 => 7,6'ye 7 eklendi.
Thread 9 => 7,6'ye 7 eklendi.
Thread 9 => 8,6'ye 6 eklendi.
Thread 2 => 8,0'ye 3 eklendi.
Thread 2 => 8,2'ye 2 eklendi.
Thread 9 => 7,13'ye 6 eklendi.
Thread 10 => 11,7'ye 3 eklendi.
Thread 2 => 6,1'ye 6 eklendi.
Thread1 => 3,6'ye 9 eklendi.
Thread 4 => 7,13'ye 6 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread1 => 4,7'ye 7 eklendi.
Thread 2 => 5,3'ye 9 eklendi.
Thread 10 => 12,12'ye 6 eklendi.
Thread1 => 3,3'ye 2 eklendi.
Thread 2 => 5,6'ye 1 eklendi.
Thread1 => 3,5'ye 7 eklendi.
Thread 7 => 12,12'ye 6 eklendi.
Thread1 => 4,1'ye 1 eklendi.
Thread 7 => 14,20'ye 6 eklendi.
Thread1 => 4,4'ye 8 eklendi.
Thread1 => 4,6'ye 4 eklendi.
Thread 2 => 5,2'ye 8 eklendi.
Thread1 => 1,6'ye 8 eklendi.
Thread1 => 2,3'ye 8 eklendi.
Thread1 => 2,4'ye 7 eklendi.
Thread1 => 2,5'ye 2 eklendi.
Thread 8 => 19,18'ye 6 eklendi.
Thread1 => 0,2'ye 5 eklendi.
Thread1 => 0,7'ye 2 eklendi.
Thread 8 => 18,13'ye 6 eklendi.
Thread1 => 1,0'ye 2 eklendi.
Thread1 => 1,1'ye 7 eklendi.
Thread1 => 2,0'ye 1 eklendi.
Thread1 => 2,1'ye 4 eklendi.
Thread1 => 2,7'ye 5 eklendi.
Thread Last => 0,0'ye 8 eklendi.
Thread1 => 0,1'ye 3 eklendi.
Thread Last => 0,2'ye 2 eklendi.
Thread1 => 1,0'ye 1 eklendi.
Thread1 => 1,2'ye 4 eklendi.
Thread 2 => 8,0'ye 2 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread1 => 2,1'ye 6 eklendi.
Thread1 => 4,2'ye 6 eklendi.
Thread Last => 0,2'ye 5 eklendi.
Thread1 => 2,7'ye 5 eklendi.
Thread 2 => 6,7'ye 8 eklendi.
Thread 2 => 7,6'ye 5 eklendi.
Thread 2 => 7,8'ye 7 eklendi.
Thread 9 => 6,13'ye 9 eklendi.
Thread 10 => 12,8'ye 5 eklendi.
Thread 4 => 6,12'ye 3 eklendi.
Thread 10 => 14,8'ye 8 eklendi.
Thread1 => 0,8'ye 6 eklendi.
Thread 2 => 6,0'ye 5 eklendi.
Thread 6 => 19,6'ye 5 eklendi.
Thread 5 => 14,8'ye 8 eklendi.
Thread 4 => 6,16'ye 1 eklendi.
Thread 3 => 4,13'ye 1 eklendi.
Thread 4 => 6,19'ye 2 eklendi.
Thread 6 => 19,7'ye 1 eklendi.
Thread1 => 1,6'ye 8 eklendi.
Thread 4 => 6,20'ye 8 eklendi.
Thread 3 => 4,14'ye 9 eklendi.
Thread 4 => 7,13'ye 6 eklendi.
Thread 3 => 4,18'ye 2 eklendi.
Thread 4 => 7,16'ye 3 eklendi.
Thread 3 => 4,19'ye 6 eklendi.
Thread 2 => 6,1'ye 6 eklendi.
Thread 2 => 7,0'ye 1 eklendi.
Thread 2 => 8,0'ye 3 eklendi.
Thread 2 => 8,2'ye 2 eklendi.
Thread 2 => 8,6'ye 6 eklendi.
Thread Last => 0,2'ye 6 eklendi.
Thread1 => 0,8'ye 7 eklendi.
Thread1 => 2,0'ye 5 eklendi.
Thread1 => 2,8'ye 6 eklendi.
Thread1 => 4,1'ye 6 eklendi.
Thread1 => 0,6'ye 5 eklendi.
Thread 9 => 6,8'ye 3 eklendi.
Thread 2 => 6,1'ye 8 eklendi.
Thread1 => 0,7'ye 2 eklendi.
Thread 9 => 7,6'ye 7 eklendi.
Thread 2 => 6,7'ye 5 eklendi.
Thread 9 => 7,7'ye 8 eklendi.
Thread 2 => 7,0'ye 1 eklendi.
Thread1 => 3,6'ye 9 eklendi.
Thread 9 => 8,6'ye 6 eklendi.
Thread 2 => 7,2'ye 5 eklendi.
Thread1 => 4,7'ye 7 eklendi.
Thread 2 => 8,0'ye 3 eklendi.
Thread 2 => 8,2'ye 2 eklendi.
Thread 9 => 7,13'ye 6 eklendi.
Thread 10 => 11,7'ye 3 eklendi.
Thread1 => 1,0'ye 2 eklendi.
Thread 2 => 5,3'ye 9 eklendi.
Thread 2 => 5,6'ye 1 eklendi.
Thread1 => 1,6'ye 8 eklendi.
Thread 7 => 12,12'ye 6 eklendi.
Thread 2 => 6,0'ye 6 eklendi.
Thread1 => 3,3'ye 2 eklendi.
Thread 7 => 14,20'ye 6 eklendi.
Thread1 => 3,5'ye 7 eklendi.
Thread1 => 4,2'ye 1 eklendi.
Thread1 => 4,4'ye 8 eklendi.
Thread1 => 4,6'ye 4 eklendi.
Thread 2 => 5,2'ye 8 eklendi.
Thread1 => 1,2'ye 4 eklendi.
Thread1 => 2,3'ye 8 eklendi.
Thread 8 => 19,18'ye 6 eklendi.
Thread1 => 2,4'ye 7 eklendi.
Thread1 => 2,5'ye 2 eklendi.
Thread1 => 2,7'ye 4 eklendi.
Thread1 => 1,1'ye 7 eklendi.
Thread1 => 2,1'ye 1 eklendi.
Thread 8 => 18,13'ye 6 eklendi.
Thread Last => 0,12'ye 1 eklendi.
Thread 3 => 2,13'ye 8 eklendi.
Thread 3 => 2,19'ye 1 eklendi.
Thread 3 => 2,20'ye 3 eklendi.
Thread 9 => 6,13'ye 9 eklendi.
Thread 4 => 6,13'ye 9 eklendi.
Thread 3 => 0,14'ye 3 eklendi.
Thread 3 => 1,19'ye 4 eklendi.
Thread 4 => 8,12'ye 3 eklendi.
Thread 3 => 2,12'ye 4 eklendi.
Thread 3 => 4,13'ye 1 eklendi.
Thread 3 => 4,14'ye 9 eklendi.
Thread 9 => 6,12'ye 8 eklendi.
Thread 4 => 6,12'ye 8 eklendi.
Thread 9 => 7,12'ye 5 eklendi.
Thread 3 => 1,12'ye 9 eklendi.
Thread 4 => 6,20'ye 2 eklendi.
Thread 9 => 7,14'ye 4 eklendi.
Thread 3 => 1,13'ye 5 eklendi.
Thread 4 => 7,14'ye 4 eklendi.
Thread 9 => 8,8'ye 4 eklendi.
Thread 3 => 1,14'ye 2 eklendi.
Thread 4 => 7,20'ye 7 eklendi.
Thread 9 => 8,13'ye 2 eklendi.
Thread 3 => 1,18'ye 8 eklendi.
Thread 9 => 8,14'ye 1 eklendi.
Thread 3 => 1,20'ye 7 eklendi.
Thread 4 => 8,14'ye 1 eklendi.
Thread 4 => 8,18'ye 6 eklendi.
Thread 9 => 9,14'ye 2 eklendi.
Thread 9 => 10,8'ye 2 eklendi.
Thread Last => 0,12'ye 3 eklendi.
Thread 9 => 8,14'ye 3 eklendi.
Thread 4 => 8,14'ye 3 eklendi.
Thread 7 => 13,12'ye 3 eklendi.
Thread 7 => 13,13'ye 5 eklendi.
Thread 7 => 13,16'ye 8 eklendi.
Thread 7 => 14,16'ye 3 eklendi.
Thread 9 => 8,13'ye 2 eklendi.
Thread 5 => 12,9'ye 3 eklendi.
Thread 10 => 12,9'ye 3 eklendi.
Thread 9 => 9,14'ye 2 eklendi.
Thread 7 => 12,13'ye 7 eklendi.
Thread 10 => 12,13'ye 7 eklendi.
Thread 9 => 10,8'ye 2 eklendi.
Thread 10 => 14,8'ye 7 eklendi.
Thread 9 => 7,9'ye 2 eklendi.
Thread 10 => 13,8'ye 8 eklendi.
Thread 2 => 7,9'ye 2 eklendi.
Thread 5 => 13,8'ye 8 eklendi.
Thread Last => 0,13'ye 1 eklendi.
Thread 3 => 1,13'ye 7 eklendi.
Thread 3 => 2,13'ye 8 eklendi.
Thread 3 => 2,19'ye 1 eklendi.
Thread 3 => 2,20'ye 3 eklendi.
Thread 3 => 4,13'ye 9 eklendi.
Thread 3 => 4,14'ye 1 eklendi.
Thread Last => 0,13'ye 7 eklendi.
Thread Last => 0,14'ye 1 eklendi.
Thread 4 => 7,14'ye 4 eklendi.
Thread 3 => 1,14'ye 2 eklendi.
Thread 9 => 7,14'ye 4 eklendi.
Thread 3 => 2,13'ye 8 eklendi.
Thread 9 => 8,8'ye 4 eklendi.
Thread 3 => 2,19'ye 1 eklendi.
Thread 3 => 2,20'ye 3 eklendi.
Thread 3 => 4,13'ye 1 eklendi.
Thread 3 => 4,14'ye 9 eklendi.
Thread 9 => 6,13'ye 9 eklendi.
Thread 10 => 13,14'ye 1 eklendi.
Thread 2 => 7,1'ye 4 eklendi.
Thread 9 => 7,8'ye 9 eklendi.
Thread 3 => 1,12'ye 9 eklendi.
Thread 4 => 6,12'ye 8 eklendi.
Thread 2 => 7,8'ye 9 eklendi.
Thread 10 => 14,13'ye 4 eklendi.
Thread 3 => 1,13'ye 5 eklendi.
Thread 7 => 12,14'ye 8 eklendi.
Thread 9 => 7,11'ye 5 eklendi.
Thread 5 => 12,8'ye 5 eklendi.
Thread 4 => 6,20'ye 2 eklendi.
Thread 2 => 8,1'ye 9 eklendi.
Thread 5 => 13,6'ye 4 eklendi.
Thread 7 => 14,19'ye 8 eklendi.
Thread 9 => 7,12'ye 1 eklendi.
Thread 3 => 1,18'ye 8 eklendi.
Thread 2 => 8,7'ye 1 eklendi.
Thread 4 => 7,12'ye 1 eklendi.
Thread 5 => 13,7'ye 9 eklendi.
Thread 3 => 1,19'ye 4 eklendi.
Thread 9 => 8,7'ye 1 eklendi.
Thread 4 => 7,16'ye 3 eklendi.
Thread 5 => 14,4'ye 9 eklendi.
Thread 2 => 8,9'ye 7 eklendi.
Thread 3 => 1,20'ye 7 eklendi.
Thread 9 => 8,9'ye 7 eklendi.
Thread 4 => 7,18'ye 9 eklendi.
Thread 5 => 14,7'ye 6 eklendi.
Thread 3 => 2,12'ye 4 eklendi.
Thread 9 => 8,12'ye 5 eklendi.
Thread 5 => 14,9'ye 1 eklendi.
Thread 4 => 7,19'ye 7 eklendi.
Thread 9 => 9,7'ye 4 eklendi.
Thread 4 => 7,20'ye 5 eklendi.
Thread 9 => 9,12'ye 7 eklendi.
Thread 4 => 8,18'ye 1 eklendi.
Thread 9 => 9,13'ye 8 eklendi.
Thread 4 => 8,19'ye 6 eklendi.
Thread 9 => 10,9'ye 5 eklendi.
Thread 4 => 8,20'ye 8 eklendi.
Thread 9 => 10,11'ye 1 eklendi.
Thread 9 => 10,12'ye 9 eklendi.
Thread 9 => 9,10'ye 6 eklendi.
Thread 10 => 11,6'ye 9 eklendi.
Thread1 => 1,7'ye 9 eklendi.
Thread 3 => 0,19'ye 9 eklendi.
Thread 4 => 6,16'ye 1 eklendi.
Thread1 => 1,8'ye 1 eklendi.
Thread 10 => 11,12'ye 4 eklendi.
Thread 5 => 12,6'ye 1 eklendi.
Thread 8 => 19,13'ye 1 eklendi.
Thread 3 => 0,20'ye 6 eklendi.
Thread 4 => 6,19'ye 3 eklendi.
Thread 6 => 19,6'ye 5 eklendi.
Thread 5 => 13,4'ye 1 eklendi.
Thread 10 => 11,13'ye 1 eklendi.
Thread 8 => 19,14'ye 4 eklendi.
Thread 3 => 4,18'ye 6 eklendi.
Thread 6 => 19,7'ye 1 eklendi.
Thread 10 => 11,14'ye 5 eklendi.
Thread 5 => 13,9'ye 6 eklendi.
Thread 3 => 4,19'ye 2 eklendi.
Thread 6 => 20,6'ye 6 eklendi.
Thread 8 => 19,16'ye 5 eklendi.
Thread 5 => 14,0'ye 8 eklendi.
Thread 10 => 12,10'ye 9 eklendi.
Thread 6 => 20,7'ye 7 eklendi.
Thread 8 => 20,13'ye 8 eklendi.
Thread 5 => 14,1'ye 1 eklendi.
Thread 10 => 12,11'ye 4 eklendi.
Thread 8 => 20,14'ye 3 eklendi.
Thread 10 => 13,11'ye 7 eklendi.
Thread 10 => 14,11'ye 8 eklendi.
Thread 10 => 11,8'ye 6 eklendi.
Thread 9 => 6,9'ye 4 eklendi.
Thread 3 => 0,18'ye 2 eklendi.
Thread 2 => 6,9'ye 4 eklendi.
Thread 9 => 6,11'ye 6 eklendi.
Thread 10 => 11,10'ye 7 eklendi.
Thread 6 => 18,0'ye 5 eklendi.
Thread 8 => 18,16'ye 1 eklendi.
Thread 9 => 8,10'ye 8 eklendi.
Thread 6 => 18,7'ye 8 eklendi.
Thread 9 => 8,11'ye 9 eklendi.
Thread 8 => 18,19'ye 4 eklendi.
Thread 6 => 19,1'ye 8 eklendi.
Thread 9 => 9,6'ye 5 eklendi.
Thread 8 => 18,20'ye 7 eklendi.
Thread 9 => 9,8'ye 1 eklendi.
Thread 8 => 19,12'ye 9 eklendi.
Thread 8 => 20,12'ye 7 eklendi.
Thread 8 => 20,18'ye 1 eklendi.
Thread 8 => 20,19'ye 5 eklendi.
Thread 8 => 20,20'ye 9 eklendi.
Thread 7 => 12,18'ye 3 eklendi.
Thread 6 => 19,0'ye 6 eklendi.
Thread 8 => 18,12'ye 5 eklendi.
Thread 7 => 12,19'ye 9 eklendi.
Thread 6 => 19,2'ye 7 eklendi.
Thread 6 => 19,4'ye 4 eklendi.
Thread 7 => 12,20'ye 1 eklendi.
Thread 6 => 19,8'ye 3 eklendi.
Thread 7 => 13,18'ye 4 eklendi.
Thread 7 => 13,19'ye 7 eklendi.
Thread 7 => 13,20'ye 2 eklendi.
Thread 7 => 16,18'ye 7 eklendi.
Thread 7 => 16,19'ye 3 eklendi.
Thread 6 => 18,4'ye 7 eklendi.
Thread 5 => 12,0'ye 7 eklendi.
Thread 8 => 19,19'ye 2 eklendi.
Thread 5 => 13,0'ye 2 eklendi.
Thread 8 => 19,20'ye 3 eklendi.
Thread 5 => 13,1'ye 6 eklendi.
Thread 5 => 13,2'ye 3 eklendi.
